,Authors,Title,Cities,Publisher,Years,Fund,Segni
635,"Cicerone, Marco Tullio",Storia della rivoluzione russa,"Verona, Tedeschi",Einaudi,1946,BTB Segn. 93 ,nan
636,"Cicerone, Marco Tullio",Caratteri e aneddoti: Dialoghetti filosofici. Xilografie di Parigi,"Bandiera, Napoli",Formìggini,1715,BTB Segn. 94 ,nan
637,"Cicerone, Marco Tullio",La Chanson de Roland,"TorinoRomaMilanoFirenzeNapoli, Paravia",Maison Alfred Mame et fils,1950,BTB Segn. 95 ,nan
638,"Cicerone, Marco Tullio","Charcot, JeanBaptiste Cristoforo Colombo",Torino,Bemporad,1936,BTB Segn. 96 ,nan
639,"Cicerone, Marco Tullio",Vendetta per il santo,"Paris, Les Belles Lettres",Garzanti,1964,BTB Segn. 97 ,nan
640,"Cicerone, Marco Tullio",La réforme et les guerres de religion,"Paris, Les Belles Lettres",Colin,1939,BTB Segn. 98 ,nan
641,"Cicerone, Marco Tullio",Atala. Introduzione di G.G. Severi,Paris,Martello,1953,BTB Segn. 99 ,nan
642,"Cicerone, Marco Tullio", Memoires d’outretombe,Paris,Bibliothèque de la Pléiade,1942,BTB Segn. 34 ,nan
643,"Cicerone, Marco Tullio", Vita di Rancé,"Paris, Les Belles Lettres",Bompiani,1952,BTB Segn. 40 ,nan
644,"Cicerone, Marco Tullio",L’Italia dal,"Paris, Les Belles Lettres",L’Italia dal,1492,BTB Segn. 35  ,Postille.
645,"Cicerone, Marco Tullio",George Bernard Shaw. Traduzione di A.N. Corbascio,"Paris, Les Belles Lettres",s.d.,1916,BTB Segn. 41 ,nan
646,"Cicerone, Marco Tullio",Piccola storia d’Inghilterra. Introduzione di N. De Feo,"Milano, Rizzoli",Atlantica,1865,BTB Segn. 36 ,Parzialmente intonso. Postille.
647,"Cicerone, Marco Tullio",MargueriteThe Coincise Oxford French dictionary,"MilanoRomaNapoli, Dante Alighieri",Oxford University Press,1940,BTB Segn. Op. 79  ,nan
648,"Cicerone, Marco Tullio",  Vocabolario romanesco,Torino,,1946,BTB Segn. 305 ,nan
649,"Cicerone, Marco Tullio",Dolore del tempo,"Milano, Fanfani",Rebellato,1928,BTB Segn. 2157 ,nan
650,"Cicerone, Marco Tullio", Il pretore di Cuvio,"Napoli, Chiurazzi",Mondadori,1947,BTB Segn. 1223 ,nan
651,"Cinquini, Adolfo",Memorie della vita di Giosuè Carducci (,,Memorie della vita di Giosuè Carducci (,1937,BAL ,nan
652,"Cioffi, René M.",La vita di Ugo Foscolo. Premessi alcuni cenni su Giuseppe Chiarini da G. Mazzoni,"Milano, Schwarz",Barbera,1943,BTB Segn. 778 ,Dedica dell’autore
653,"Cirese, Alberto Mario",della Certosa di Pavia,Roma,Colombo,1912,BTB Segn. 1733 ,nan
654,"Citati, Piero",La zona immobile,Milano,Mondadori,1941,BAL ,nan
655,"Citati, Piero",La paura entusiasmante,"Firenze, Sansoni",Mondadori,1843,BAL ,nan
656,"Citati, Piero",Canto secco per gli undici mesidell’anno,"Milano, Mondadori",s.d.,1855,BTB Segn. 1604 ,nan
657,"Clark, Alan", Poesia postmodernista in Brasile,Il conflitto russotedesco,s.d.,1925,BAL ,nan
658,"Clerici, Fabrizio","Chopin, JeanMarieRussia. Falconetti",Firenze,Antonelli,1925,BTB Segn. 2109 ,nan
659,Club delle fattorie.,Un inverno freddissimo,,Feltrinelli,1955,BTB Segn. 1244 ,nan
660,"Cobban, Alfred",Tempo di Grecia,Cenacolo Artisti Cattolici,NeriPozza,1961,BTB Segn. 2115 ,nan
661,"Coccia, Alfio","Carlo – Stradore, Giovanni della mostra. GalleriaPasseggiata di Ripetta. 1631 gennaio. Con illustrazioni",Torino,Giovanni della mostra. GalleriaPasseggiata di Ripetta. 1631 gennaio. Con illustrazioni.,1953,BTB Segn. 1245 ,nan
662,La cokeria di San Giuseppe di,  Trattato di prosodia e metrologia latina,"Torino, Einaudi",Morano,1950,BAL ,nan
663,"Coleridge, Samuel Taylor",Correspondance. Constans,"London, Longmans",Les Belles Lettres,1950,BTB Segn. 306 ,Intonso.
664,"Colerus, Egmont", De Officiis ad Marcum filium Liber Primus. Vianelli,"Firenze, Salani",Tedeschi,1954,BAL ,nan
665,"Collins, William Wilkie","  De officiis, volgarizzati da A","Parma, Il Raccoglitore",L. Ciurazzi,1932,BTB Segn. 2057 ,Nota di possesso autografa in data 07.1920 Milano. Postille.
666,"Collodi, Carlo", De Oratore Libri Tres: Liber Secundus. Firmani,"Milano, Hoepli",Paravia,1946,BTB Segn. 2117 ,nan
667,"Colombi Guidotti, Mario", Discorso in difesa di Lucio Murena reo di broglio,Le scienze fisiche e le loro applicazioni nel cinquantennio,Loescher,1952,BTB Segn. 2379 ,nan
668,"Colombo, Cristoforo"," Discours: Tome 2ème: Pour M. Tullius: Discours contre Q. Caecilius, dit «La divination»: Première action contre C. Verrès, Livre premier: La Préture urbaine","Roma, Ministero dell’Agricoltura e delle Foreste",Les Belles Lettres,1955,BTB Segn. 2352 ,nan
669,"Colombo, Giuseppe"," Discours: Tome 3ème: Seconde action contre Verrès, Livre second: La Préture de Sicile",", Nebrija",Les Belles Lettres,1960,BTB Segn. 308 ,nan
670,"Colombo, Giuseppe"," Discours: Tome 4ème: Seconde action contre Verrès, Livre troisième: Le froment. Martha","Torino, Ribet",Les Belles Lettres,1916,BTB Segn. 307 ,nan
671,La colonizzazione del latifondo," Discours: Tome 5ème: Seconde action contre Verrès, Livre IVe: Les oeuvres d’art","Milano, Mondadori",Les Belles Lettres,1942,BTB Segn. 766 ,nan
672,"Comas, Juan"," Discours: Tome 6ème: Seconde action contre Verrès, Livre Ve: Les supplices",Fi renze,Les Belles Lettres,1938,BAL ,nan
673,"Comisso, Giovanni", Discours: Tome 7ème: «Pour M. Fonteius»: «Pour A. Cécina»: Sur les pouvoirs de Pompée,Dramma,Les Belles Lettres,1861,BTB Segn. 309 ,nan
674,"Comisso, Giovanni", Discours: Tome 10ème: Catilinaires,Liceo Beccaria il 30 maggio,Les Belles Lettres,1940,BTB Segn. 2426 ,Parzialmente intonso.
675,"Comisso, Giovanni", Due accuse di omicidio (I processi di Celio e di Milone),"Milano, Garzanti",Rizzoli,1933,BTB Segn. 1734 ,Pieghe.
676,Commemorazione di Gaetano, Il trattato intorno ai doveri: Libro primo,Torino,Dante Alighieri,1933,BTB Segn. 2507 ,Presente solo il II volume.
677,"Compagni, Dino", I tre libri De Officiis,"Milano, Gnocchi",Chiantore,1934,BTB Segn. 2116 ,Nota di possesso autografa in data 2.06.1925 Milano.
678,Compendio della storia della," Le tre orazioni dette dinanzi a Cesare per M. Marcello, Q. Ligario e il re Dejotaro. Traduzione di B. Latini e M. di L. Bruni. Rezzi",,Fanfani,1932,BTB Segn. 2117 ,Nota di possesso autografa in data1925 Milano.
679,A Complete Dictionary of the, Gli ufficj: Libri tre. Bandiera,"Torino, Petrini",Chiurazzi,1938,BTB Segn. 1403 ,nan
680,"Concina, Umberto – Neppi",Andocidis de codicibus qui in Bibliotheca Ambrosiana existant. s.l,"Torino, Petrini",Pirola,1966,BTB Segn. 2266 ,nan
681,"Concina, Umberto – Neppi",". Ti amo, eppure vivo","Milano, All’insegna del Pesced’oro",Schwarz,1954,BTM ,nan
682,Confucio,Saggi della cultura meridionale. I. Gli studi di tradizioni popolari nel Molise. Profilo storico e saggio di bibliografia,Bergamo,De Luca,1912,BTB Segn. 1247 ,nan
683,Conosci Bergamo. Invito alla,Goethe,"Gadda, Milano,Bom piani",Mondadori,1902,BTB Segn. 1248 ,nan
684,"Conrad, Joseph", La poesia e il caso,"Milano, Bompiani",s.d.,1923,BTB Segn. 1246 ,nan
685,"Conrad, Joseph", Il tè del cappellaio matto,Milano,Mondadori,1925,BTB Segn. 977 ,nan
686,"Conrad, Joseph",Operazione Barbarossa,Milano,Operazione Barbarossa. Il conflitto russotedesco,1899,BTB Segn. 978,nan
687,"Conrad, Joseph",Allegorie dei sensi di Jan Brueghel,"MilanoRoma, TrevesTreccaniTumminelli",Electa,1958,BTB Segn. 310 ,Dedica dell’autore.
688,"Constant, Benjamin",". s.l., s.e",,s.d.,1966,BAL ,Dedica dell’autore in data 13.2.1956.
689,"Constant, Benjamin",Storia della Francia da,Milano,Storia della Francia da,1912,BAL ,nan
690,"Conti, Ettore",Profilo di ignoto,Parma,Profilo di ignoto. Cenacolo Artisti Cattolici,1915,BAL ,Dedica dell’autore in data 29.5.1968.
691,"Conti, Gian Carlo",Cairo nell’anno della sua inaugurazione,Cal tanissetta,Cairo nell’anno della sua inaugurazione,1942,BTB Segn. 354 ,Nota di possesso autografa di Enrico Gadda in data 06.1917.
692,"Conti, Gian Carlo",La ballata del vecchio marinaio. Prefazione di C. Gorlier,"Milano, Feltrinelli",Einaudi,1920,BTB Segn. 779 ,nan
693,"Conti, Gian Carlo",Piccola storia della matematica. Da Pitagora a Hilbert. Traduzione di S. Casavecchia,,Einaudi,1927,BTB Segn. 780 ,Dedica dell’autore. Postille.
694,"Conti, Giusto",The Moonstone. Adapted and simplified by E.M. Attwood,"Firenze,Le Monnier",Longmans,1943,BTB Segn. 781 ,nan
695,"Contini, Gianfranco",Le avventure di Pinocchio: storia di un burattino,"Firenze, Parenti",Salani,1943,BTB Segn. Op. 78,Dedica dell’autore.
696,"Contini, Gianfranco",Impazienza,Letteratura dell’Italia unita,Il Raccoglitore,1913,BAL ,nan
697,"Contini, Gianfranco",Giornale di bordo di Cristoforo Colombo,Roma,Giornale di bordo di Cristoforo Colombo,1948,BAL ,nan
698,"Contini, Gianfranco","Manuale dell’ingegnere civile e industriale. Con la collaborazione di C.I. Azimonti, M. Baroni, G. Belluzzo, G. Semenza","Reggio Emilia, Tipografica nazionale Magnani e Ganassi, Bibliotechina della Rivista Rosminiana, 29",Hoepli,1931,BAL ,nan
699,"Contini, Gianfranco",Id,"Corsi, Bibliotechinadella Rivista Rosminiana",Id. Le scienze fisiche e le loro applicazioni nel cinquantennio,1871,BAL ,nan
700,"Contini, Gianfranco",siciliano: documenti fotografici leggi e decreti,"Reggio Emilia, TrevesTreccaniTumminelli",Ministero dell’Agricoltura e delle Foreste,1920,BTB Segn. 782 ,Parzialmente intonso.
701,"Contini, Gianfranco",Antologia de el Escorial. s.l,"ReggioEmilia, Anonima poligrafica emiliana, Bibliotechina della RivistaRosminiana",Nebrija,1966,BTB Segn. Op. 67 ,nan
702,"Contini, Gianfranco",Al vento dell’Adriatico,Varianti e altra linguistica: unaraccolta di saggi (,Ribet,1932,BTB Segn. 833 ,nan
703,"Contini, Gianfranco",  Capriccio e illusione,,Mondadori,1954,BTB Segn. 1735 ,nan
704,Contorni di Milano., L’italiano errante per l’Italia,Milano,Parenti,1954,BAL ,nan
705,". Milano, Vallardi. s.d.",Commedia dell’arte. Canovacci della gloriosa Commedia dell’Arte italiana. Bragaglia,"Pisa, Nistri Lischi",Commedia dell’arte. Canovacci della gloriosa Commedia dell’Arte italiana. Bragaglia. Dramma,1935,BTB Segn. 979 ,nan
706,"Cordiè, Carlo",Negri tenuta dai licenziandi del R,"Pisa, NistriLischi",Negri tenuta dai licenziandi del R. Liceo Beccaria il 30 maggio,1951,BTB Segn. 43  ,Postille.
707,"Corneille, Pierre",La Cronica e passi scelti dalla «Cronaca» di Giovanni Villani,,Garzanti,1893,BTB Segn. 2065 ,Intonso.
708,"Corneille, Pierre",Compendiaria graecae grammatices institutio,"Paris, Flammarion",Marietti,1958,BTB Segn. 1122 ,nan
709,.,casa d’Austria,,Gnocchi,1935,BTB Segn. 980 ,Timbro di Antonio Semenza. Parzialmente intonso.
710,Cornelio Nepote,"English Language, both withregard to Sound and Meaning:One main Object of which is, toestablish a plain and permanentstandard of pronunciation. Towhich is prefixed a ProsodialGrammar. Vol. II: JZ","Milano, AlbrighiSegati",toestablish a plain and permanentstandard of pronunciation. Towhich is prefixed a ProsodialGrammar. Vol. II: JZ.,1960,BTB Segn. 2381 ,nan
711,"Cornelissen, Christian","Modona, AngeloNozioni di trigonometria sfericaad uso dei Licei Scientifici. Appendice alla «Trigonometria piana» ad uso dei Licei",Paris,Petrini,1922,BTB Segn. 2225 ,nan
712,"Coulon, Marcel",Trigonometria piana,Paris,Petrini,1965,BAL ,nan
713,"Courteline, Georges",Studio integrale e L’asse che nonvacilla. Con una nota di A. Fang,"Paris, Flammarion",All’insegna del Pesced’oro,1970,BTB Segn. 321 ,nan
714,Cremona passato e presente.,Conosci Bergamo. Invito allascoperta della provincia orobica. Presentazione di L. Angelini. Impressioni di L. Della Mea,Cremona,Pol. Bolis,1883,BTB Segn. 323 ,Sottolineature e postille.
715,"Crippa, Geo Renato",L’agente segreto. Romanzo. Traduzione di C.E,Bergamo,Bom piani,1928,BTB Segn. 312-317 ,Intonsi i volumi 4 e 6.
716,Crivelli e i Crivelleschi.,Appunti di vita e letteratura. Traduzione di P. Jahier e M.L. RisslerStoneman. Introduzione di E. Garnett,,Bompiani,1921,BTB Segn. 322 ,Sottolineature.
717,"Croce, Benedetto",L’avventuriero. Introduzione di V. Woolf,"Bari, Laterza",Bompiani,1913,BTB Segn. 311 ,Nota di possesso autografa.
718,"Croce, Benedetto",Lo specchio del mare. Cronaca personale. Racconti tra terra e mare,Bari,Bompiani,1952,BTB Segn. 327 ,nan
719,"Croce, Benedetto",Adolfo,Bari,TrevesTreccaniTumminelli,1972,BTB Segn. 326 ,nan
720,"Croce, Benedetto","Il generale Federico. Commediafarsa. Torino, ERI, s.d. («Quaderni dellaradio»: 3)",Bari,s.d. («Quaderni dellaradio»: 3).,1866,BTB Segn. 325 ,Sottolineature e postille.
721,"Croce, Benedetto",Dal taccuino di un borghese,Bari,Garzanti,1912,BTB Segn. 320 ,nan
722,"Croce, Benedetto",Un mite ottobre ed altre poesie,Bari,Il raccoglitore,1942,BTB Segn. 318 ,nan
723,"Croce, Benedetto",Il primo passeggio dopo il mare,Bari,Sciascia,1901,BTB Segn. 319 ,nan
724,"Croce, Benedetto",Il profumo di tigli,Bari,Feltrinelli,1942,BTB Segn. 324 ,Sottolineature.
725,"Croce, Benedetto",La bella mano,Bari,La bella mano.,1910,BTB Segn. 328 ,nan
726,"Croce, Benedetto",Un anno di letteratura,Bari,Le Monnier,1915,BTB Segn. 1249 ,nan
727,"Croce, Benedetto",Esercizi di lettura,Storia d’Italia dal,Parenti,1934,BTB Segn. Op. 61 ,nan
728,"Croce, Benedetto",Id,Bari,Id.Letteratura dell’Italia unita,1927,BAL,Postille.
729,"Croce, Elena",Il mulino del Po e la carrieraletteraria di Riccardo Bacchelli,"Milano, Adelphi",Nuova Antologia,1919,BTB Segn. 329 ,nan
730,"Crofts, Freeman Wills",Scriptor rerum francigenarum,Milano,29,1940,BTB Segn. 1714 ,nan
731,Cronica de las jornadas de,"Scrittori Moderni. Reggio Emilia,Tipografia M","Salamanca,Universidad de Salamanca",22,1942,BAL ,Foglietto incollato a p. 12 e nota dipossesso in data 1893.
732,"Cronin, Archibald Joseph","Tre composizioni o la metrica di Saba – Bonsanti, o dell’attività pura","Milano,Bompiani",TrevesTreccaniTumminelli,1915,BAL ,nan
733,La cultura figurativa e la,Ungaretti o dell’allegria,"MilanoRoma,Rizzoli",16,1942,BAL ,Dedica dell’autore in data 2.1964.
734,"Curetti, Adriano",Id,Milano,Id.Varianti e altra linguistica: unaraccolta di saggi (,1941,BAL ,D
735,"Curotto, Ernesto",,,.,1933,BTB Segn. 2073 ,nan
736,"Daiches, David",,"Roma, Associazione italiana per la libertà dellacultura",Vallardi. s.d.,1896,BTB Segn. 1337-1338 ,nan
737,"Dalbono, Claudio Tito","CordatiMartinelli, BrunaQuando s’insegna Dante","Roma, Associazione Italiana PerLa Libertà Della Cultura",Nistri Lischi,1957,BTB Segn. Op. 77 ,nan
738,"D’Alicandro, Giuseppe Maria",Ideali e figure d’Europa,Bologna,NistriLischi,1953,BTB Segn. 1938 ,Parzialmente intonso.
739,"D’Amato, Ferdinando",Œuvres de Corneille.d,,Œuvres de Corneille.d.,1953,BTB Segn. 783-787 ,Sottolineature e postille.
740,"D’Ancona, Alessandro – Bacci,",Théâtre. Tome second,Bologna,Flammarion,1925,BAL ,Biglietto da visita dell’autore con nota.
741,"D’Ancona, Paolo",,Milano,.,1939,BAL ,nan
742,"D’Andrea, Ezio",Liber de excellentibus ducibus exterarum gentium,Napoli,AlbrighiSegati,1938,BTB Segn. 330 ,nan
743,"Dani, Franco",Les hallucinations des Einsteiniens ou les erreurs de méthode chez le physiciensmathématiciens,Milano,Blanchard,1853,BTB Segn. 332 ,nan
744,"D’Annunzio, Gabriele",Au cœur de Verlaine et de Rimbaud. Avec des documents inédits,,Le  Livre,1915,BTB Segn. 331 ,nan
745,"D’Annunzio, Gabriele",Le 51e Chasseurs,Firenze,Flammarion,1915,BTB Segn. 334 ,"Nota di possesso autografa di EnricoGadda in data 11.1917, Cascina Malpensa."
746,"D’Annunzio, Gabriele",,"Roma, Il Quadrivio",Italia Nostra,1913,BTB Segn. 335 ,Parzialmente intonso.
747,"D’Annunzio, Gabriele",Il restauratore principe Mauro Pelliccioli uomo e «mago»,"Milano,Treves",Stamperia Conti,1910,BTB Segn. 336-338 ,Intonso.
748,"D’Annunzio, Gabriele",,"Roma, Vittoriale degliItaliani",.,1939,BTB Segn. 339 ,nan
749,"D’Annunzio, Gabriele",Estetica come scienza dell’espressione  e  Linguistica generale,Milano,Laterza,1924,BTB Segn. 340 ,Segnalibro.
750,"D’Annunzio, Gabriele", Filosofia della pratica; Economia ed etica,"Roma, Vittoriale degli Italiani",Laterza,1963,BTB Segn. 341 ,Parzialmente intonso.
751,"D’Annunzio, Gabriele", La letturatura della nuova Italia.Saggi critici,Milano,Laterza,1952,BTB Segn. 342 ,Intonso.
752,"D’Annunzio, Gabriele", La logica come scienza del concetto puro,Milano,Laterza,1929,BTB Segn. 344 ,Nota di possesso autografa di Enrico Gadda in data 10.1916.
753,"D’Annunzio, Gabriele", Ludovico Ariosto,Roma,Laterza,1955,BTB Segn. 343 ,Parzialmente intonso.
754,"D’Annunzio, Gabriele", Per la storia del Comunismo in quanto realtà politica. In appendice: La «terza via»,"Milano,Treves",Laterza,1927,BTB Segn. 345 ,Intonso.
755,"D’Annunzio, Gabriele", Perché non possiamo non dirci «cristiani»,"Venezia, Associazione Nazionale Trento eTrieste",Laterza,1966,BTB Segn. 1443 ,nan
756,"D’Annunzio, Gabriele", Saggio sullo Hegel seguito da altri scritti di storia della filosofia,,Laterza,1960,BTB Segn. 2066 ,nan
757,"D’Annunzio, Gabriele",Storia d’Europa nel secolo decimonono,"Roma, Vittoriale degli Italiani",Laterza,1967,BAL ,nan
758,"D’Annunzio, Gabriele",Storia del Regno di Napoli,"Roma, Vittoriale degli Italiani",Laterza,1893,BAL ,nan
759,"D’Annunzio, Gabriele",Id,Milano,Id.Storia d’Italia dal,1938,BTB Segn. 346 ,nan
760,"Da Ponte, Lorenzo",Teoria e storia della storiografia,"Roma, Vittoriale degli Italiani",Laterza,1939,BAL ,"Nota di possesso, Ing. Carlo Emilio Gadda 14 aprile 1925."
761,"Dariès, Georges",L’infanzia dorata,,Adelphi,1950,BTB Segn. 981 ,Intonso.
762,"D’Arrigo, Stefano",L’incendio nella brughiera,"Roma, Vittoriale degli Italiani",Mondadori,1964,BAL ,nan
763,"D’Aspro, Franco.",lengua y literatura hispanoamericana,"Sesto San Giovanni, Barion",Universidad de Salamanca,1960,BTB Segn. 347-348 ,nan
764,"D’Arzo, Silvio",Gli anni che contano,Paris,Bompiani,1973,BTB Segn. 349 ,Nota di possesso autografa di Enrico Gadda in data 07.1917.
765,"Darwin, Charles",Cronisti del Trecento,"Milano, All’insegna del pesce d’oro",Rizzoli,1969,BTB Segn. 350 ,Nota di possesso autografa di Enrico Gadda in data 3.08.1916.
766,"Daudet, Alphonse","Croome, Honor Renée – Hammond, Richard JamesStoria economica d’Inghilterra. Introduzione di Lord Beveridge",Firenze,Longanesi,1970,BTB Segn. 351 ,Nota di possesso autografa di EnricoGadda in data 02.1916.
767,"Dauzat, Albert","La cucina degli stomachi deboli. Milano, Tipografia Bernardoni di C. Rebeschini e C",Firenze,Tipografia Bernardoni di C. Rebeschini e C.,1945,BTB Segn. 1511-1512 ,Intonsi.
768,"Davanzati, Bernardo",Cultura e società,"Milano, Casa editrie  sociale",Associazione italiana per la libertà dellacultura,1951,BTB Segn. 1746 ,nan
769,"Da Verona, Guido", stampa d’arte ai nostri giorni,Milano,Associazione Italiana PerLa Libertà Della Cultura,1944,BTB Segn. 352 ,Parzialmente intonso.
770,"Da Verona, Guido",Gli alberi non vogliono morire,Paris,Cappelli,1951,BTB Segn. 1513 ,nan
771,"Da Verona, Guido","Dizionarietto geografico dantesco. Genova, Stabilimento artigrafiche Caimo e C",Firenze,Stabilimento artigrafiche Caimo e C.,1950,BTB Segn. 353 ,Dedica dell’autore.
772,"Davidsohn, Roberto",Da Costa Andrade – Edward NevilleIsaac Newton. La vita e le opere,"Milano, Baldini e Castoldi",Zanichelli,1855,BTB Segn. 788 ,nan
773,"Dawson, Christopher","Storia della letteratura inglese. Leardi, G. Marzano, G. Raboni, A. Bertolucci",Milano,Garzanti,1960,BTB Segn. 789 ,nan
774,"D’Azeglio, Massimo",  di Napoli e dintorni,"Milano,Baldini e Castoldi",Morano,1831,BAL ,nan
775,"Deakin, Frederick William",Cesare Battisti nel mio ricordofanciullo. Prefazione di I. Cappa,"Firenze, Sansoni",Mediolanum,1963,BTB Segn. 2267 ,Dedica di Piero Gadda Conti in data15.6. 1967.
776,"Debenedetti, Giacomo",Il pensiero di Enrico Bergson.s.l,"Torino, Einaudi",Il Solco,1938,BAL ,Postille.
777,"Debenedetti, Giacomo",OrazioManuale della letteratura italiana,Firenze,Barbera,1933,BAL ,Dedica dell’autore in data 3.1967.
778,"Debenedetti, Giacomo"," La mostra di Vincenzo VanGogh, estratto da «Le Vied’Italia»",Torino,estratto da «Le Vied’Italia»,1940,BTB Segn. Op. 82,Sottolineature e postille.
779,"De Biasi, Mario – Gadda Conti,",51 col formicone,"Roma,Macchia",Il Quadrivio,1946,BTB Segn. 1251 ,nan
780,"De Diéguez, Manuel","Un gran buio, ancora su Custozae sugli altri eventi militari del","Firenze, Edizionidi Solaria",ancora su Custozae sugli altri eventi militari del,1932,BTB Segn. 1250 ,nan
781,"De Feo, Sandro", Canto novo. Intermezzo,Milano,Treves,1953,BTB Segn. 1252 ,nan
782,"De Filippis, Salvatore",Il fuoco,Paris,Vittoriale degliItaliani,1963,BTB Segn. 355 ,nan
783,"Defoe, Daniel",In morte di Giuseppe Verdi: Canzone: preceduta da un’orazione aigiovani,"Roma, Edizioni dell’Automobilista",Treves,1959,BTB Segn. 356 e BAL ,Dedica autografa dell’autrice in data 16.12.60.
784,"Defoe, Daniel",L’innocente,"Paris,Seuil",Vittoriale degli Italiani,1952,BTB Segn. Op. 19  ,Dedica dell’autrice.
785,"Defoe, Daniel", Laudi del cielo del mare della terra e degli eroi. Libro primo: Maia,"Milano, Garzanti",Treves,1950,BAL ,Dedica autografa dell’autrice in data 5.1970.
786,"De Giorgi, Elsa",Laudi del cielo del mare della terrae  degli eroi: Libro quarto: Merope.Le canzoni delle gesta d’oltremare,Città di Castello,Treves,1941,BAL ,Dedica autografa dell’autrice in data 5.1970.
787,Ead.,Laudi del cielo del mare della terra e degli eroi,Torino,L’Oleandro,1937,BAL ,nan
788,Ead.,La Leda senza cigno. Raccontoseguito da una licenza,Milano,Treves,1951,BTB Segn. 430 ,Dedica dell’autore. Intonso.
789,Ead.,Lettera ai Dalmati,Milano,Associazione Nazionale Trento eTrieste,1952,BAL ,nan
790,Ead.,"Il libro delle Vergini. Como, Soc.Ed. Roma, s.d. («Biblioteca deigrandi autori»: 2)",Milano,s.d. («Biblioteca deigrandi autori»: 2).,1881,BAL ,nan
791,"De Gironcoli, Franco", Notturno,"Venezia, Sodalizio del libro",Vittoriale degli Italiani,1913,BAL ,nan
792,"De Gironcoli, Franco", Novelle della Pescara,Roma,Vittoriale degli Italiani,1959,BTB Segn. 1453 ,Nota di possesso autografa di Adele Gadda Lehr. Sottolineature e postille.
793,"De Gironcoli, Franco", Il piacere,"Città di Castello,  Edizioni di Opera aperta",Treves,1938,BTB Segn. 357 ,nan
794,"De La Bruyère, Jean", Il piacere,"Roma, La nuova sinistra",Vittoriale degli Italiani,1867,BTB Segn. 358 ,nan
795,"De La Rochefoucauld, François","  Poema paradisiaco, s.l., s.e., s.d. Manca il frontespizio",Treviso,s.d. Manca il frontespizio.,1934,BTB Segn. 359 ,nan
796,"De Leva, Giuseppe", Le vergini delle rocce,"Treviso, Edizioni di TrevisoLibreria Canova",Vittoriale degli Italiani,1850,BTB Segn. 360 ,Dedica dell’autore.
797,"Delfini, Antonio",Don Giovanni,Treviso,Barion,1935,BTB Segn. 361 ,nan
798,"Delfini, Antonio","Mécanique, hydraulique, thermodynamique","Paris, Gallimard",Dunod et Vicq,1969,BTB Segn. 362 ,nan
799,"Delfini, Antonio",Codice siciliano,"Paris, Gallimard",All’insegna del pesce d’oro,1942,BTB Segn. 1531 ,nan
800,"Delfini, Antonio",. Disegni di Franco D’Aspro,Padova,Edizioni Ofiria,1948,BTB Segn. 2177 ,nan
801,"Delfini, Antonio",Casa d’altri. Con un ricordo di G. Degani,Milano,Sansoni,1872,BTB Segn. 363 ,Dedica dell’autore.
802,"De Libero, Libero",L’origine dell’uomo e la scelta in rapporto col sesso,Modena,Casa editrie  sociale,1945,BTB Segn. 364 ,Dedica dell’autore.
803,"Della Casa, Giovanni",Tartarino di Tarascona. Xilografie di A. Meraviglia,Milano,Bietti,1920,BTB Segn. 365 ,Dedica dell’autore. Postille.
804,"Della Montagna, Lupo",étymologique de la langue française,"Firenze, Parenti",Larousse,1959,BTB Segn. 366 ,Dedica dell’autore in data 10.1953.
805,"Della Pergola, Paola",Le opere. Note di E. Bindi,Milano,Le Monnier,1809,BTB Segn. 367 ,Dedica dell’autore in data 05.1947.
806,"Dell’Arco, Mario",Il Cavaliere dello Spirito Santo. Storia di una giornata,"Roma, Edizioni della Cometa",Baldini e Castoldi,1944,BTB Segn. 368 ,Dedica dell’autore.
807,"Dell’Arco, Mario", Colei che non si deve amare,"Firenze, Le Monnier",Baldini e Castoldi,1943,BTB Segn. 369 ,nan
808,"Dell’Arco, Mario",La vita comincia domani,Milano,Baldini e Castoldi,1942,BTB Segn. 370 ,Dedica dell’autore ad A. Gargiulo. Sottolineature e postille.
809,"Dell’Arco, Mario",Storia di Firenze,,Sansoni,1951,BTB Segn. 371 ,nan
810,"Dell’Arco, Mario",La formazione dell’unità europea. Dal secolo V al XI. Traduzione non indicata,Roma,Einaudi,1924,BTB Segn. 1514 ,nan
811,"Dell’Arco, Mario",I miei ricordi.Con uno scritto di G. Capponi,Andreocci,Sansoni,1952,BAL ,nan
812,"Del Pizzo, Giovanni",Storia della Repubblica di Salò. Golzio e O. Francisci,"Roma, Il Nuovo Belli",Einaudi,1953,BTB Segn. 2158 ,nan
813,"Del Pizzo, Giovanni",Radiorecita su Proust,Bardi,Macchia,1938,BTB Segn. 372 ,Intonso.
814,"Del Pizzo, Giovanni",Saggi critici,,Edizionidi Solaria,1913,BAL ,Postille.
815,"Del Re, Niccolò",Saggi critici. Nuova serie,Roma,Mondadori,1914,BTB Segn. 3259 ,nan
816,"De Luca, Giuseppe","De Beranger, PierreJeanŒuvres completes de PierreJeande Beranger",Modena,Perrotin,1950,BAL ,nan
817,"De Luca, Pasquale",PieroLa Brianza. Fotografie di L. Camusso,Modena,Edizioni dell’Automobilista,1955,BAL ,nan
818,"De Martino, Ernesto",Rabelais par luimême,"Modena, Guanda",Seuil,1953,BTB Segn. 373 ,Parzialmente intonso.
